                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89777,                  0.577,                 1.2443,                 0.8497,                 0.8786,                0.91166,                0.62021,                0.93895,                0.52612,                  1.076,               0.003268,               0.003268,               0.003268
                     36,                0.90595,                 0.5671,                 1.2514,                 0.8959,                0.89754,                0.92955,                 0.6376,                0.92183,                 0.5367,                 1.0596,                0.00307,                0.00307,                0.00307
                     37,                0.87712,                0.55376,                 1.2293,                0.92729,                0.87236,                0.93439,                 0.6559,                0.89328,                  0.515,                 1.0459,               0.002872,               0.002872,               0.002872
                     38,                0.86859,                0.54193,                 1.2309,                0.92976,                0.84868,                 0.9372,                0.63991,                0.93316,                0.49902,                 1.0703,               0.002674,               0.002674,               0.002674
                     39,                0.85116,                0.53184,                 1.2067,                0.91285,                0.90458,                0.92468,                0.64231,                0.94187,                0.53423,                  1.069,               0.002476,               0.002476,               0.002476
                     40,                0.79373,                0.38087,                  1.199,                0.92339,                0.87641,                0.93481,                0.65321,                0.93898,                0.57351,                 1.0572,               0.002278,               0.002278,               0.002278
                     41,                0.77954,                0.36641,                 1.2017,                0.88514,                0.88306,                0.91822,                0.63142,                0.94908,                0.56691,                 1.1019,                0.00208,                0.00208,                0.00208
                     42,                0.75555,                0.35317,                 1.1877,                0.93664,                0.84374,                0.91707,                0.63733,                0.91113,                 0.6748,                 1.0636,               0.001882,               0.001882,               0.001882
                     43,                0.74029,                0.34158,                  1.166,                 0.9141,                0.76734,                0.88846,                 0.6159,                0.97648,                0.76159,                 1.0868,               0.001684,               0.001684,               0.001684
                     44,                0.72491,                0.33227,                 1.1513,                 0.9378,                0.80396,                0.91615,                0.64728,                0.91028,                0.67356,                 1.0591,               0.001486,               0.001486,               0.001486
                     45,                0.71478,                0.32606,                 1.1449,                0.91076,                0.72961,                0.87682,                0.62231,                0.96762,                0.80288,                 1.0814,               0.001288,               0.001288,               0.001288
                     46,                0.70124,                0.31252,                 1.1235,                0.89189,                0.78818,                0.89989,                0.63171,                0.95781,                0.72514,                 1.0732,                0.00109,                0.00109,                0.00109
                     47,                0.68889,                0.31045,                 1.1161,                0.92504,                0.76391,                0.89648,                0.61882,                0.95325,                0.78715,                  1.069,               0.000892,               0.000892,               0.000892
                     48,                0.66811,                0.30106,                  1.105,                0.88526,                0.76791,                0.87892,                0.61491,                0.96915,                0.76777,                 1.0739,               0.000694,               0.000694,               0.000694
                     49,                0.65578,                0.29036,                 1.1009,                0.92587,                0.76422,                0.89961,                0.63707,                0.93802,                0.77503,                 1.0631,               0.000496,               0.000496,               0.000496
